Date,Avg_Temperature,Day,Season
2020-01-01,3.8,Wednesday,Winter
2020-01-02,6.3,Thursday,Winter
2020-01-03,5.9,Friday,Winter
2020-01-04,2.3,Saturday,Winter
2020-01-05,0.0,Sunday,Winter
2020-01-06,5.0,Monday,Winter
2020-01-07,5.4,Tuesday,Winter
2020-01-08,6.9,Wednesday,Winter
2020-01-09,2.7,Thursday,Winter
2020-01-10,-0.2,Friday,Winter
2020-01-11,-0.4,Saturday,Winter
2020-01-12,6.2,Sunday,Winter
2020-01-13,2.2,Monday,Winter
2020-01-14,3.9,Tuesday,Winter
2020-01-15,7.4,Wednesday,Winter
2020-01-16,6.4,Thursday,Winter
2020-01-17,4.7,Friday,Winter
2020-01-18,4.8,Saturday,Winter
2020-01-19,3.2,Sunday,Winter
2020-01-20,3.7,Monday,Winter
2020-01-21,6.9,Tuesday,Winter
2020-01-22,3.4,Wednesday,Winter
2020-01-23,1.5,Thursday,Winter
2020-01-24,5.6,Friday,Winter
2020-01-25,2.2,Saturday,Winter
2020-01-26,6.0,Sunday,Winter
2020-01-27,4.9,Monday,Winter
2020-01-28,3.7,Tuesday,Winter
2020-01-29,3.2,Wednesday,Winter
2020-01-30,0.9,Thursday,Winter
2020-01-31,2.7,Friday,Winter
2020-02-01,5.7,Saturday,Winter
2020-02-02,4.1,Sunday,Winter
2020-02-03,-0.9,Monday,Winter
2020-02-04,-2.6,Tuesday,Winter
2020-02-05,0.4,Wednesday,Winter
2020-02-06,0.3,Thursday,Winter
2020-02-07,-1.3,Friday,Winter
2020-02-08,2.6,Saturday,Winter
2020-02-09,4.5,Sunday,Winter
2020-02-10,6.0,Monday,Winter
2020-02-11,3.7,Tuesday,Winter
2020-02-12,3.0,Wednesday,Winter
2020-02-13,0.8,Thursday,Winter
2020-02-14,-1.3,Friday,Winter
2020-02-15,3.6,Saturday,Winter
2020-02-16,7.0,Sunday,Winter
2020-02-17,6.2,Monday,Winter
2020-02-18,6.8,Tuesday,Winter
2020-02-19,4.1,Wednesday,Winter
2020-02-20,1.0,Thursday,Winter
2020-02-21,5.8,Friday,Winter
2020-02-22,6.3,Saturday,Winter
2020-02-23,5.2,Sunday,Winter
2020-02-24,1.3,Monday,Winter
2020-02-25,0.0,Tuesday,Winter
2020-02-26,0.2,Wednesday,Winter
2020-02-27,-1.2,Thursday,Winter
2020-02-28,-1.2,Friday,Winter
2020-02-29,1.2,Saturday,Winter
2020-03-01,3.8,Sunday,Spring
2020-03-02,4.3,Monday,Spring
2020-03-03,3.8,Tuesday,Spring
2020-03-04,2.1,Wednesday,Spring
2020-03-05,1.4,Thursday,Spring
2020-03-06,0.9,Friday,Spring
2020-03-07,1.3,Saturday,Spring
2020-03-08,3.8,Sunday,Spring
2020-03-09,6.6,Monday,Spring
2020-03-10,4.8,Tuesday,Spring
2020-03-11,4.7,Wednesday,Spring
2020-03-12,3.8,Thursday,Spring
2020-03-13,1.9,Friday,Spring
2020-03-14,-1.2,Saturday,Spring
2020-03-15,3.5,Sunday,Spring
2020-03-16,3.7,Monday,Spring
2020-03-17,5.3,Tuesday,Spring
2020-03-18,6.2,Wednesday,Spring
2020-03-19,5.3,Thursday,Spring
2020-03-20,1.1,Friday,Spring
2020-03-21,-0.4,Saturday,Spring
2020-03-22,-0.9,Sunday,Spring
2020-03-23,2.2,Monday,Spring
2020-03-24,4.3,Tuesday,Spring
2020-03-25,7.2,Wednesday,Spring
2020-03-26,6.1,Thursday,Spring
2020-03-27,3.9,Friday,Spring
2020-03-28,3.9,Saturday,Spring
2020-03-29,0.9,Sunday,Spring
2020-03-30,-0.5,Monday,Spring
2020-03-31,1.2,Tuesday,Spring
2020-04-01,6.3,Wednesday,Spring
2020-04-02,5.6,Thursday,Spring
2020-04-03,3.0,Friday,Spring
2020-04-04,1.9,Saturday,Spring
2020-04-05,4.2,Sunday,Spring
2020-04-06,8.5,Monday,Spring
2020-04-07,6.8,Tuesday,Spring
2020-04-08,8.7,Wednesday,Spring
2020-04-09,8.3,Thursday,Spring
2020-04-10,5.4,Friday,Spring
2020-04-11,5.0,Saturday,Spring
2020-04-12,8.5,Sunday,Spring
2020-04-13,4.4,Monday,Spring
2020-04-14,4.9,Tuesday,Spring
2020-04-15,9.3,Wednesday,Spring
2020-04-16,8.4,Thursday,Spring
2020-04-17,6.1,Friday,Spring
2020-04-18,5.1,Saturday,Spring
2020-04-19,7.4,Sunday,Spring
2020-04-20,10.0,Monday,Spring
2020-04-21,10.7,Tuesday,Spring
2020-04-22,11.0,Wednesday,Spring
2020-04-23,10.7,Thursday,Spring
2020-04-24,7.9,Friday,Spring
2020-04-25,7.8,Saturday,Spring
2020-04-26,7.2,Sunday,Spring
2020-04-27,4.4,Monday,Spring
2020-04-28,2.7,Tuesday,Spring
2020-04-29,2.9,Wednesday,Spring
2020-04-30,3.5,Thursday,Spring
2020-05-01,6.9,Friday,Spring
2020-05-02,9.8,Saturday,Spring
2020-05-03,9.5,Sunday,Spring
2020-05-04,6.2,Monday,Spring
2020-05-05,7.5,Tuesday,Spring
2020-05-06,8.8,Wednesday,Spring
2020-05-07,8.4,Thursday,Spring
2020-05-08,10.7,Friday,Spring
2020-05-09,8.8,Saturday,Spring
2020-05-10,9.9,Sunday,Spring
2020-05-11,4.4,Monday,Spring
2020-05-12,4.7,Tuesday,Spring
2020-05-13,3.8,Wednesday,Spring
2020-05-14,4.9,Thursday,Spring
2020-05-15,8.0,Friday,Spring
2020-05-16,7.7,Saturday,Spring
2020-05-17,7.5,Sunday,Spring
2020-05-18,7.5,Monday,Spring
2020-05-19,8.4,Tuesday,Spring
2020-05-20,8.0,Wednesday,Spring
2020-05-21,10.3,Thursday,Spring
2020-05-22,11.2,Friday,Spring
2020-05-23,9.4,Saturday,Spring
2020-05-24,12.1,Sunday,Spring
2020-05-25,12.2,Monday,Spring
2020-05-26,14.8,Tuesday,Spring
2020-05-27,13.4,Wednesday,Spring
2020-05-28,11.6,Thursday,Spring
2020-05-29,12.3,Friday,Spring
2020-05-30,13.5,Saturday,Spring
2020-05-31,15.6,Sunday,Spring
2020-06-01,19.2,Monday,Summer
2020-06-02,15.2,Tuesday,Summer
2020-06-03,13.6,Wednesday,Summer
2020-06-04,14.1,Thursday,Summer
2020-06-05,14.0,Friday,Summer
2020-06-06,12.5,Saturday,Summer
2020-06-07,14.6,Sunday,Summer
2020-06-08,15.1,Monday,Summer
2020-06-09,16.0,Tuesday,Summer
